name,equipment,primary_muscle,secondary_muscle,video,thumbnail
"Bent Over Row (Barbell)","Barbell","Upper Back","Lats, Biceps, Forearms","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/00271201-Barbell-Bent-Over-Row_Back.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/00271201-Barbell-Bent-Over-Row_Back_thumbnail@3x.jpg"
"Bent Over Row (Dumbbell)","Dumbbell","Upper Back","Lats, Biceps, Forearms","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/02931201-Dumbbell-Bent-Over-Row_Back.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/02931201-Dumbbell-Bent-Over-Row_Back_thumbnail@3x.jpg"
"Bicep Curl (Barbell)","Barbell","Biceps","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/00311201-Barbell-Curl_Upper-Arms.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/00311201-Barbell-Curl_Upper-Arms_thumbnail@3x.jpg"
"Bicep Curl (Cable)","Machine","Biceps","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/01561201-Cable-Curl_Upper-Arms.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/01561201-Cable-Curl_Upper-Arms_thumbnail@3x.jpg"
"Bicep Curl (Dumbbell)","Dumbbell","Biceps","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/02941201-Dumbbell-Biceps-Curl_Upper-Arms.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/02941201-Dumbbell-Biceps-Curl_Upper-Arms_thumbnail@3x.jpg"
"Bicep Curl (Machine)","Machine","Biceps","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/10321201-Lever-Alternate-Biceps-Curl_Upper-Arms_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/10321101-Lever-Alternate-Biceps-Curl_Upper-Arms_small_thumbnail@3x.jpg"
"Bicep Curl (Suspension)","Suspension","Biceps","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/10701201-Suspender-Arm-Curl-(female)_Upper-Arms_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/10701201-Suspender-Arm-Curl-(female)_Upper-Arms_thumbnail_@3x.jpg"
"Bicycle Crunch","None","Abdominals","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/00031201-air-bike-m_waist.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/00031201-air-bike-m_waist_thumbnail@3x.jpg"
"Bicycle Crunch Raised Legs","None","Abdominals","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/01471201-Bycicle-Twisting-Crunch_Waist.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/01471201-Bycicle-Twisting-Crunch_Waist_thumbnail@3x.jpg"
"Bird Dog","None","Glutes","Hamstrings, Shoulders","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/51821201-Bird-Dog-(VERSION-2)-(female)_Back_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/51821201-Bird-Dog-(VERSION-2)-(female)_Back_thumbnail_@3x.jpg"
"Box Jump","Other","Quadriceps","Hamstrings, Glutes, Calves","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/71591201-Jump-Box-(female)_Plyometrics_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/71591201-Jump-Box-(female)_Plyometrics_thumbnail_@3x.jpg"
"Box Squat (Barbell)","Barbell","Quadriceps","Hamstrings, Glutes","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/49621201-Barbell-Box-Squat_Hips_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/49621201-Barbell-Box-Squat_Hips_thumbnail_@3x.jpg"
"Boxing","None","Cardio","None","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/22731101-Boxing-Right-Cross_small_thumbnail@3x.jpg"
"Bulgarian Split Squat","Dumbbell","Quadriceps","Glutes, Hamstrings","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/22901201-Dumbbell-Bulgarian-Split-Squat-(female)_Thighs.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/22901101-Dumbbell-Bulgarian-Split-Squat-(female)_Thighs_small_thumbnail@3x.jpg"
"Burpee","None","Full Body","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/11601201-Burpee_Cardio.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/11601201-Burpee_Cardio_thumbnail@3x.jpg"
"Burpee Over the Bar","None","Full Body","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/101811201-Burpee-Over-the-Bar-(male)_Plyometrics_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/101811201-Burpee-Over-the-Bar-(male)_Plyometrics_thumbnail_@3x.jpg"
"Butterfly (Pec Deck)","Machine","Chest","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/10301201-Lever-Pec-Deck-Fly_Chest.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/10301201-Lever-Pec-Deck-Fly_Chest_thumbnail@3x.jpg"
"Cable Core Palloff Press","Machine","Abdominals","Chest, Shoulders, Triceps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/12021201-Cable-horizontal-Pallof-Press_waist.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/12021201-Cable-horizontal-Pallof-Press_waist_thumbnail@3x.jpg"
"Cable Crunch","Machine","Abdominals","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/01751201-Cable-Kneeling-Crunch_Waist.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/01751201-Cable-Kneeling-Crunch_Waist_thumbnail@3x.jpg"
"Cable Fly Crossovers","Machine","Chest","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/12691201-Cable-Standing-Up-Straight-Crossovers_Chest.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/12691201-Cable-Standing-Up-Straight-Crossovers_Chest_thumbnail@3x.jpg"
"Cable Pull Through","Machine","Glutes","Hamstrings, Lower Back","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/12061201-Cable-pull-through_hips.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/12061201-Cable-pull-through_hips_thumbnail@3x.jpg"
"Cable Twist (Down to up)","Machine","Abdominals","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/12071201-Cable-twist-(down-up)_waist.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/12071201-Cable-twist-(down-up)_waist_thumbnail@3x.jpg"
"Cable Twist (Up to down)","Machine","Abdominals","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/08621201-Cable-twist-(up-down)_Waist.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/08621201-Cable-twist-(up-down)_Waist_thumbnail@3x.jpg"
"Calf Extension (Machine)","Machine","Calves","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/23151201-Lever-Rotary-Calf_Calves.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/23151201-Lever-Rotary-Calf_Calves_thumbnail@3x.jpg"
"Calf Press (Machine)","Machine","Calves","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/07381201-Sled-45-Calf-Press_Calves.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/07381201-Sled-45-Calf-Press_Calves_thumbnail@3x.jpg"
"Chest Dip","Machine","Chest","Shoulders, Triceps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/02511201-Chest-Dip_Chest.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/02511201-Chest-Dip_Chest_thumbnail@3x.jpg"
"Chest Dip (Assisted)","Machine","Chest","Triceps, Shoulders","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/00091201-Assisted-Chest-Dip-(kneeling)_Chest.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/00091201-Assisted-Chest-Dip-(kneeling)_Chest_thumbnail@3x.jpg"
"Chest Dip (Weighted)","Machine","Chest","Triceps, Shoulders","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/17551201-Weighted-Tricep-Dips_Upper-Arms_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/17551201-Weighted-Tricep-Dips_Upper-Arms_thumbnail_@3x.jpg"
"Chest Fly (Band)","Resistance Band","Chest","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/09131201-Band-Middle-Fly-(female)_Chest_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/09131201-Band-Middle-Fly-(female)_Chest_thumbnail_@3x.jpg"
"Chest Fly (Dumbbell)","Dumbbell","Chest","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/03081201-Dumbbell-Fly_Chest.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/03081201-Dumbbell-Fly_Chest_thumbnail@3x.jpg"
"Chest Fly (Machine)","Machine","Chest","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/05961201-Lever-Seated-Fly_Chest.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/05961201-Lever-Seated-Fly_Chest_thumbnail@3x.jpg"
"Chest Fly (Suspension)","Suspension","Chest","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/57371201-Suspension-Fly_Chest-FIX_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/57371201-Suspension-Fly_Chest-FIX_thumbnail_@3x.jpg"
"Chest Press (Band)","Resistance Band","Chest","Shoulders, Triceps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/09201201-Band-Standing-Chest-Press-(female)_Chest_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/09201201-Band-Standing-Chest-Press-(female)_Chest_thumbnail_@3x.jpg"
"Chest Press (Machine)","Machine","Chest","Shoulders, Triceps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/05771201-Lever-Chest-Press_Chest.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/05771201-Lever-Chest-Press_Chest_thumbnail@3x.jpg"
"Chest Supported Incline Row (Dumbbell)","Dumbbell","Upper Back","Lats, Biceps, Forearms","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/03271201-Dumbbell-Incline-Row_Back.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/03271201-Dumbbell-Incline-Row_Back_thumbnail@3x.jpg"
"Chest Supported Reverse Fly (Dumbbell)","Dumbbell","Shoulders","Upper Back","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/03831201-Dumbbell-Reverse-Fly_Shoulders.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/03831201-Dumbbell-Reverse-Fly_Shoulders_thumbnail@3x.jpg"
"Chest Supported Y Raise (Dumbbell)","Dumbbell","Shoulders","Upper Back","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/35411201-Dumbbell-Incline-Y-Raise_Shoulders_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/35411201-Dumbbell-Incline-Y-Raise_Shoulders__thumbnail_@3x.jpg"
"Chin Up","Machine","Lats","Upper Back, Biceps, Forearms","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/13261201-Chin-Up_Back.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/13261201-Chin-Up_Back_thumbnail@3x.jpg"
"Chin Up (Assisted)","Machine","Lats","Upper Back, Biceps, Forearms","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/05721201-Lever-Assisted-Chin-Up_Back_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/05721301-assisted-chin-up_small_thumbnail@3x.jpg"
"Chin Up (Weighted)","Machine","Lats","Upper Back, Biceps, Forearms","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/41811201-Weighted-Hang-Chin-Up_Back_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/29871101-Weighted-Close-Grip-Chin-up-on-Dip-Cage_Back_small_thumbnail@3x.jpg"
"Clamshell","Resistance Band","Glutes","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/98491201-Side-Plank-Clamshell-(male)_Hips_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/98491201-Side-Plank-Clamshell-(male)_Hips_thumbnail_@3x.jpg"
"Clap Push Ups","None","Chest","Triceps, Shoulders","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/12731201-Clap-Push-Up_Plyometrics_Chest.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/12731101-Clap-Push-Up_Plyometrics_Chest_small_thumbnail@3x.jpg"
"Clean","Barbell","Full Body","None","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/15211101-Barbell-Hang-Clean-Below-the-Knees_Weightlifts_small_thumbnail@3x.jpg"
"Clean and Jerk","Barbell","Full Body","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/00281201-Barbell-Clean-and-Press_Shoulders.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/00281201-Barbell-Clean-and-Press_Shoulders_thumbnail@3x.jpg"
"Clean and Press","Barbell","Full Body","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/00281201-Barbell-Clean-and-Press_Shoulders.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/00281201-Barbell-Clean-and-Press_Shoulders_thumbnail@3x.jpg"
"Clean Pull","Barbell","Full Body","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/15171201-Barbell-Clean-Pull_Weightlifts_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/15171101-Barbell-Clean-Pull_Weightlifts_small_thumbnail@3x.jpg"
"Climbing","None","Cardio","None","None","None"
"Concentration Curl","Dumbbell","Biceps","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/02971201-Dumbbell-Concentration-Curl_Upper-Arms.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/02971201-Dumbbell-Concentration-Curl_Upper-Arms_thumbnail@3x.jpg"
"Cross Body Hammer Curl","Dumbbell","Biceps","Forearms","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/16571201-Dumbbell-Cross-Body-Hammer-Curl-(Version-2)_Upper-Arms-FIX.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/02981101-Dumbbell-Cross-Body-Hammer-Curl_Forearms_small_thumbnail@3x.jpg"
"Crunch","None","Abdominals","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/02741201-Crunch-Floor-m_waist.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/02741201-Crunch-Floor-m_waist_thumbnail@3x.jpg"
"Crunch (Machine)","Machine","Abdominals","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/05951201-Lever-Seated-Crunch-(chest-pad).mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/05951201-Lever-Seated-Crunch-(chest-pad)_thumbnail@3x.jpg"
"Crunch (Weighted)","None","Abdominals","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/66031201-Weighted-Plate-Lying-Crunch-(male)_Waist_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/66031201-Weighted-Plate-Lying-Crunch-(male)_Waist_thumbnail_@3x.jpg"
"Curtsy Lunge (Dumbbell)","Dumbbell","Quadriceps","Glutes, Hamstrings, Adductors","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/08811201-Dumbbell-Curtsey-lunge-(female)_Thighs_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/08811201-Dumbbell-Curtsey-lunge-(female)_Thighs_thumbnail_@3x.jpg"
"Cycling","Machine","Cardio","None","None","None"
"Dead Bug","None","Abdominals","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/78391201-Dead-Bug-(VERSION-3)-(female)_Waist_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/78391201-Dead-Bug-(VERSION-3)-(female)_Waist_thumbnail_@3x.jpg"
"Dead Hang","None","Upper Back","Lats, Forearms","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/50551101-Dead-Hang-Stretch_Stretching_small_thumbnail_@3x.jpg"
"Deadlift (Band)","Resistance Band","Glutes","Hamstrings, Quadriceps, Lower Back, Upper Back, Lats, Traps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/08951201-Band-Deadlift-(female)_Hips_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/08951201-Band-Deadlift-(female)_Hips_thumbnail_@3x.jpg"
"Deadlift (Barbell)","Barbell","Glutes","Hamstrings, Quadriceps, Lower Back, Upper Back, Lats, Traps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/00321201-Barbell-Deadlift_Hips-FIX.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/00321201-Barbell-Deadlift_Hips-FIX_thumbnail@3x.jpg"
"Deadlift (Dumbbell)","Dumbbell","Glutes","Hamstrings, Quadriceps, Lower Back, Upper Back, Lats, Traps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/03001201-Dumbbell-Deadlift_Hips.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/03001201-Dumbbell-Deadlift_Hips_thumbnail_@3x.jpg"
"Deadlift (Smith Machine)","Machine","Glutes","Hamstrings, Quadriceps, Lower Back, Upper Back, Lats, Traps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/07521201-Smith-Deadlift_Hips.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/07521201-Smith-Deadlift_Hips_thumbnail@3x.jpg"
"Deadlift (Trap bar)","Barbell","Glutes","Hamstrings, Quadriceps, Lower Back, Upper Back, Lats, Traps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/08111201-Trap-Bar-Deadlift_Thighs.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/08111201-Trap-Bar-Deadlift_Thighs_thumbnail@3x.jpg"
"Deadlift High Pull","Barbell","Full Body","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/11991201-Sumo-Deadlift-High-Pull_Thighs_Shoulders.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/11991201-Sumo-Deadlift-High-Pull_Thighs_Shoulders_thumbnail@3x.jpg"
"Decline Bench Press (Barbell)","Barbell","Chest","Shoulders, Triceps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/00331201-Barbell-Decline-Bench-Press_Chest.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/00331201-Barbell-Decline-Bench-Press_Chest_thumbnail@3x.jpg"
"Decline Bench Press (Dumbbell)","Dumbbell","Chest","Shoulders, Triceps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/03011201-Dumbbell-Decline-Bench-Press_Chest.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/03011201-Dumbbell-Decline-Bench-Press_Chest_thumbnail@3x.jpg"
"Decline Bench Press (Machine)","Machine","Chest","Shoulders, Triceps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/13001201-Lever-Decline-Chest-Press_Chest-FIX_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/13001201-Lever-Decline-Chest-Press_Chest-FIX__thumbnail_@3x.jpg"
"Decline Bench Press (Smith Machine)","Machine","Chest","Shoulders, Triceps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/07531201-Smith-Decline-Bench-Press_Chest.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/07531201-Smith-Decline-Bench-Press_Chest_thumbnail@3x.jpg"
